calls		time		avg		function
580		    2035.8		3.510		room.process.roomMove
1151		1315.8		1.143		role.deliverer.run
44494		1120.9		0.025		Room.find
4260		743.0		0.174		RoomPosition.findClosestByPath
772		    729.3		0.945		role.deliverer.selectTarget
750		    649.6		0.866		role.deliverer.runPickup
599		    613.9		1.025		role.deliverer.runDeliver
18119		411.2		0.023		Structure.isActive
880		    373.1		0.424		role.harvester.run
993		    343.6		0.346		Creep.moveTo
854		    315.0		0.369		role.basic.goTo
7734		246.6		0.032		RoomPosition.findInRange
808		    218.6		0.271		role.harvester.runHarvest
580		    213.0		0.367		utils.roomDraw
500		    205.8		0.412		role.upgrader.run
944		    192.7		0.204		Creep.move
20		    190.9		9.545		scp.collect_stats
792		    172.8		0.218		Creep.harvest
696		    147.3		0.212		Creep.moveByPath
500		    123.4		0.247		role.upgrader.runUpgrade
498		    112.4		0.226		Creep.upgradeController
580		    103.2		0.178		role.tower.run
350		    102.4		0.293		RoomPosition.findPathTo
Avg: 157.53	Total: 3150.57	Ticks: 20
